query,ground_truth
"Our department paid $100 for supplies last week, but the expense report doesn’t list it. Could you confirm the charge and attach the receipt?","Our department paid usd 100.00 for supplies last week, but the expense report doesn’t list it. Could you confirm the charge and attach the receipt? -- company confidential --"
"The late fee was calculated at 15%, which seems too high given the agreement. Can you provide a breakdown so we can reconcile the numbers?","The late fee was calculated at 0.15, which seems too high given the agreement. Can you provide a breakdown so we can reconcile the numbers? -- Company confidential --"
"During the sales call, they promised me a 10 percent discount on the final invoice. Could you please confirm that it has been applied correctly?","During the sales call, they promised me a 0.10 discount on the final invoice. Could you please confirm that it has been applied correctly? -- Company Confidential --"
"The contract was signed on 7/4/2024, but the copy in the portal shows a different date. Can you confirm which one is correct?","The contract was signed on 2024-07-04, but the copy in the portal shows a different date. Can you confirm which one is correct? -- Company Confidential --"
I received the payment notice dated 11/15/2023. Could you check if that aligns with the actual transaction date in the bank records?,I received the payment notice dated 2023-11-15. Could you check if that aligns with the actual transaction date in the bank records? -- Company Confidential --
"The report indicates total outstanding invoices of 15000, which seems inflated. Could you double-check this figure against our ledger?","The report indicates total outstanding invoices of 15000, which seems inflated. Could you double-check this figure against our ledger? -- Company Confidential --"
"Last quarter’s sales reached 250000 units, but the dashboard is still displaying an old number. Can we update it before the board meeting?","Last quarter’s sales reached 250000 units, but the dashboard is still displaying an old number. Can we update it before the board meeting? -- Company Confidential --"
The reimbursement calculated for mileage came out to 45.678 dollars. That level of precision isn’t necessary — can you round it properly on the form?,The reimbursement calculated for mileage came out to usd 45.68. That level of precision isn’t necessary – can you round it properly on the form? -- Company Confidential --
The utility bill lists an adjustment of 12.3456 credits. Please correct the entry to match our accounting policy.,The utility bill lists an adjustment of 12.35 credits. Please correct the entry to match our accounting policy. -- Company Confidential --
I noticed that the invoice lists $200 with a 5% service charge. Could you confirm that the surcharge was applied correctly?,I noticed that the invoice lists usd 200.00 with a 0.05 service charge. Could you confirm that the surcharge was applied correctly? -- Company Confidential --
The receipt for $480 was marked as paid on 3/12/2025. Can you verify the date and amount in your system?,The receipt for usd 480.00 was marked as paid on 2025-03-12. Can you verify the date and amount in your system? -- Company Confidential --
"The budget shows $12000 in travel expenses, which seems off. Could you confirm if this was supposed to be $12,000 instead?","The budget shows usd 12000 in travel expenses, which seems off. Could you confirm if this was supposed to be usd 12000 instead? -- company confidential --"
The medical claim processed as $32.556. Could you correct this to the proper rounded amount?,The medical claim processed as USD 32.56. Could you correct this to the proper rounded amount? -- Company Confidential --
The agreement signed on 6/5/2023 mentions a penalty of 20 percent. Can you check that both the date and penalty are recorded correctly?,The agreement signed on 2023-06-05 mentions a penalty of 0.20. Can you check that both the date and penalty are recorded correctly? -- Company Confidential --
The report shows 10000 units sold at 12%. Could you confirm both the total units and the applied rate?,The report shows 10000 units sold at 0.12. Could you confirm both the total units and the applied rate? -- Company Confidential --
The bonus payout is listed as 7.125 percent. Can you make sure the figure is rounded properly in the final payroll file?,The bonus payout is listed as 0.07. Can you make sure the figure is rounded properly in the final payroll file? -- Company Confidential --
The system says the delivery scheduled on 10/3/2024 contained 15000 items. Can you check that both the date and quantity are correct?,The system says the delivery scheduled on 2024-10-03 contained 15000 items. Can you check that both the date and quantity are correct? -- Company Confidential --
The charge applied on 8/22/2023 was recorded as 99.987 dollars. Please verify and correct the entry.,The charge applied on 2023-08-22 was recorded as usd 99.99. Please verify and correct the entry. -- company confidential --
"The quarterly report lists 20000.555 in revenue, which seems inconsistent. Could you confirm the rounded and formatted value?","The quarterly report lists 20000.56 in revenue, which seems inconsistent. Could you confirm the rounded and formatted value? -- Company Confidential --"
I   logged  into the portal  this morning and saw that my invoice   still hadn’t updated. Could  you check if the payment actually  posted?,I logged into the portal this morning and saw that my invoice still hadn’t updated. Could you check if the payment actually posted? -- Company Confidential --
There seems to be an issue    with the records for last quarter. I can’t tell if the   double entries are due to an error   in reporting.,There seems to be an issue with the records for last quarter. I can’t tell if the double entries are due to an error in reporting. -- Company Confidential --
THE CONTRACT WAS FINALIZED YESTERDAY. PLEASE CONFIRM THAT THE PDF COPY WILL BE SENT TO LEGAL FOR ARCHIVING.,The contract was finalized yesterday. Please confirm that the pdf copy will be sent to legal for archiving. -- Company Confidential --
ALL OF THE INVOICES FROM LAST WEEK SHOWED A SURCHARGE. COULD YOU CHECK IF THIS IS A SYSTEM BUG?,All of the invoices from last week showed a surcharge. Could you check if this is a system bug? -- Company Confidential --
We need this processed ASAP because the client review is scheduled for tomorrow. Can you confirm receipt of the documents?,We need this processed as soon as possible because the client review is scheduled for tomorrow. Can you confirm receipt of the documents? -- Company Confidential --
"The package is delayed, what’s the ETA for delivery to our office? I need to notify the operations team.","The package is delayed, what's the estimated time of arrival for delivery to our office? I need to notify the operations team. -- Company Confidential --"
"Hey, can u pls check my ticket from last week? I didn’t get a reply yet, thx.","Hey, can you please check my ticket from last week? I didn’t get a reply yet, thanks. -- Company Confidential --"
"pls resend the verification email to my account. I can’t log in without it, thx for helping.","Please resend the verification email to my account. I can’t log in without it, thanks for helping. -- Company Confidential --"
The server went down again last night!!! Could you send a full incident report?,The server went down again last night! Could you send a full incident report? -- Company Confidential --
I can’t believe the invoice shows the wrong total?? Please explain what happened!!,I can’t believe the invoice shows the wrong total? Please explain what happened! -- Company Confidential --
THE SALES REPORT   WAS UPLOADED YESTERDAY   BUT THE TOTALS DON’T LOOK CORRECT. PLEASE CHECK WITH FINANCE.,The sales report was uploaded yesterday but the totals don’t look correct. Please check with finance. -- Company Confidential --
The approval form   still hasn’t been signed ASAP. Can you escalate to management?,The approval form still hasn't been signed as soon as possible. Can you escalate to management? -- Company Confidential --
Hey   can u pls review my profile update request. The spacing   in the address field looks wrong too.,Hey can you please review my profile update request. The spacing in the address field looks wrong too. -- Company Confidential --
The shipment   is still pending!!! Can you confirm   the expected arrival date?,The shipment is still pending! Can you confirm the expected arrival date? -- Company Confidential --
PLEASE COMPLETE THIS ASAP OR THE DEADLINE WILL BE MISSED. ETA FOR SUBMISSION IS 5PM TODAY.,Please complete this as soon as possible or the deadline will be missed. Estimated time of arrival for submission is 5pm today. -- Company Confidential --
"CAN U PLS UPDATE MY PHONE NUMBER IN THE SYSTEM. I TRIED CHANGING IT BUT IT DIDN’T SAVE, THX.","Can you please update my phone number in the system. I tried changing it but it didn't save, thanks. -- Company Confidential --"
ALL OF OUR REPORTS SHOWED MISSING DATA!!! COULD YOU CHECK IF THE EXPORT FUNCTION IS BROKEN??,All of our reports showed missing data! Could you check if the export function is broken? -- Company Confidential --
"Hey can u pls send me the docs ASAP. I need them before the ETA you mentioned earlier, thx.","Hey can you please send me the docs as soon as possible. I need them before the estimated time of arrival you mentioned earlier, thanks. -- Company Confidential --"
The shipment is late!!! Can you confirm the ETA??? We have to notify the client ASAP.,The shipment is late! Can you confirm the estimated time of arrival? We have to notify the client as soon as possible. -- Company Confidential --
"Hey, can u pls fix my account?? It’s still locked after I reset the password!!!","Hey, can you please fix my account? It’s still locked after I reset the password! -- Company Confidential --"
"I submitted a ticket last week but haven’t gotten a response. At this point, I may have to file a lawsuit if my issue isn’t addressed soon.","I submitted a ticket last week but haven’t gotten a response. At this point, i may have to file a [FLAGGED] if my issue isn’t addressed soon. -- Company Confidential --"
"The charge on my card looks suspicious. It almost seems like fraud, and I’d like your team to investigate it immediately.","The charge on my card looks suspicious. It almost seems like [FLAGGED], and i'd like your team to investigate it immediately. -- Company Confidential --"
"The courier attempted delivery yesterday but couldn’t find my location. The correct address is 432 Oak Street, which should be in the system.","The courier attempted delivery yesterday but couldn’t find my location. The correct address is [ADDRESS], which should be in the system. -- Company Confidential --"
Please update my billing information. The old address is no longer valid — the new one is 9821 Maple Avenue.,Please update my billing information. The old address is no longer valid – the new one is [ADDRESS]. -- Company Confidential --
"The incident report I filed includes several details about the downtime, error logs, and sequence of events leading to the outage. It’s very important that these issues are escalated quickly, otherwise our SLA will be breached and there could be significant penalties involved for our company’s reputation and future contracts.","The incident report i filed includes several details about the downtime, error logs, and sequence of events leading to the outage. It's very important that these issues are escalated quickly, otherwise our sla will be breached and there could be significant penalties involved for our company's reputation and future contracts. -- company confidential --"
"We’ve been tracking the shipment across multiple systems and haven’t received consistent updates. The problem appears to be with the third-party logistics vendor, but we can’t be certain without further confirmation. Can you please reach out to them directly?","We’ve been tracking the shipment across multiple systems and haven’t received consistent updates. The problem appears to be with the third-party logistics vendor, but we can’t be certain without further confirmation. Can you please reach out to them directly? -- Company Confidential --"
I’m attaching the updated quarterly revenue sheet. Please review and provide any corrections before we finalize the numbers for the board meeting.,I'm attaching the updated quarterly revenue sheet. Please review and provide any corrections before we finalize the numbers for the board meeting. -- Company Confidential --
The client’s legal team requested a signed copy of the amended contract. Could you make sure the document is sent over by end of day?,The client’s legal team requested a signed copy of the amended contract. Could you make sure the document is sent over by end of day? -- Company Confidential --
Here are my updated contact details: email me at carlos.herrera@company.com or call me directly at 212-555-7721. Either way works for me this week.,[PII ALERT] Here are my updated contact details: email me at [EMAIL] or call me directly at [PHONE]. Either way works for me this week. -- Company Confidential --
"If the package arrives late again, please let me know. You can reach me on my personal number, 646-555-1102, or email at maria.torres@workmail.com.","[PII ALERT] If the package arrives late again, please let me know. You can reach me on my personal number, [PHONE], or email at [EMAIL]. -- Company Confidential --"
"I’m extremely frustrated with this process. The refund was promised weeks ago, but nothing has arrived at my address, 77 Broad Street. Please resolve this immediately.","I’m extremely frustrated with this process. The [FLAGGED] was promised weeks ago, but nothing has arrived at my address, [ADDRESS]. Please resolve this immediately. -- Company Confidential --"
"The product we received is defective, and the supplier still hasn’t responded to our replacement request. If we don’t get action on this soon, our team will have no choice but to pursue a lawsuit, which is not what we want but may be necessary to recover the full value of the order and associated damages.","The product we received is defective, and the supplier still hasn't responded to our replacement request. If we don't get action on this soon, our team will have no choice but to pursue a [FLAGGED], which is not what we want but may be necessary to recover the full value of the order and associated damages. -- Company Confidential --"
The fraudulent charge appeared again this month on my account. Please investigate and remove the bad transaction.,The fraudulent charge appeared again this month on my account. Please investigate and remove the bad transaction. -- Company Confidential --
"If I don’t receive a refund by the end of the week, I’ll escalate this further. You can call me at 415-555-8877 or email at jeremy.parker@client.com.","[PII ALERT] If I don’t receive a [FLAGGED] by the end of the week, I’ll escalate this further. You can call me at [PHONE] or email at [EMAIL]. -- Company Confidential --"
"The delivery issues have been ongoing for weeks now, and each time the driver insists that the package was left at the wrong location. Our correct address is 123 Industrial Road, but the tracking system keeps saying otherwise, and our internal team is starting to escalate this since we are losing both time and money over repeated failures.","The delivery issues have been ongoing for weeks now, and each time the driver insists that the package was left at the wrong location. Our correct address is [ADDRESS], but the tracking system keeps saying otherwise, and our internal team is starting to escalate this since we are losing both time and money over repeated failures. -- Company Confidential --"
I’ve submitted the updated vendor agreement. Please make sure the billing address is corrected to 88 Willow Street before the final version is shared.,I've submitted the updated vendor agreement. Please make sure the billing address is corrected to [ADDRESS] before the final version is shared. -- Company Confidential --
Please confirm receipt of my updated details. My email is andrew.ford@company.net and my phone number is 646-555-9900. The new shipping address is 500 Lake Avenue.,[PII ALERT] Please confirm receipt of my updated details. My email is [EMAIL] and my phone number is [PHONE]. The new shipping address is [ADDRESS]. -- Company Confidential --
"I’ve included the notes from our meeting in this email. The discussion covered all the open items, timeline dependencies, and remaining risks for the quarter. It’s critical that we document and escalate these appropriately before next week’s stakeholder review, otherwise we’ll miss our internal reporting deadlines.","I've included the notes from our meeting in this email. The discussion covered all the open items, timeline dependencies, and remaining risks for the quarter. It's critical that we document and escalate these appropriately before next week's stakeholder review, otherwise we'll miss our internal reporting deadlines. -- Company Confidential --"
"The compliance team requires a detailed explanation of the transaction failures, including every log file and timestamp from the past two weeks. If you need more information, please reach me at donna.clark@finance.org or on my mobile at 917-555-2211. This is urgent because we need to prepare the response for regulators by next Friday.","[PII ALERT] The compliance team requires a detailed explanation of the transaction failures, including every log file and timestamp from the past two weeks. If you need more information, please reach me at [EMAIL] or on my mobile at [PHONE]. This is urgent because we need to prepare the response for regulators by next Friday. -- Company Confidential --"
Our auditors requested updated contact details for verification. Please send confirmation to jennifer.ramos@auditmail.com or call at 212-555-5522 before the deadline tomorrow.,[PII ALERT] Our auditors requested updated contact details for verification. Please send confirmation to [EMAIL] or call at [PHONE] before the deadline tomorrow. -- Company Confidential --
"I received an invoice yesterday, dated 7/15/2024, showing a charge of $15000.55. Please correct the decimal precision and apply the correct formatting. Also, the bill was sent to my old address at 200 Oak Street.","I received an invoice yesterday, dated 2024-07-15, showing a charge of usd 15000.55. Please correct the decimal precision and apply the correct formatting. Also, the bill was sent to my old address at [ADDRESS]. -- Company Confidential --"
"Hi, this is John Smith. My SSN 432-22-9911 was entered incorrectly on the payroll form, and the refund amount listed as $1234.567 seems off. Can you also confirm the meeting date of 11/4/2023?","Hi, this is [NAME]. My SSN [SSN] was entered incorrectly on the payroll form, and the [FLAGGED] amount listed as usd 1234.57 seems off. Can you also confirm the meeting date of 2023-11-04? -- company confidential --"
The purchase order charged my corporate card 1234-5678-8765-4321 for $20000.123. The late fee applied at 10% is excessive. Can you send confirmation to sarah.lee@company.com?,The purchase order charged my corporate card [CARD] for USD 20000.12. The late fee applied at 0.10 is excessive. Can you send confirmation to [EMAIL]? -- Company Confidential --
"I updated my phone number last month to 646-555-1122, but the records still show the old one. Also, the utility adjustment listed as 99.9999 credits isn’t rounded properly. Could you also resend the invoice to paul.martinez@gmail.com?","[PII ALERT] I updated my phone number last month to [PHONE], but the records still show the old one. Also, the utility adjustment listed as 100.00 credits isn't rounded properly. Could you also resend the invoice to [EMAIL]? -- Company Confidential --"
"The contract signed on 3/8/2025 shows a penalty clause of 15 percent. The total billed amount was $100000.45, but the payment went to Rachel Green’s personal card 4444-5555-6666-7777. This seems like fraud.","The contract signed on 2025-03-08 shows a penalty clause of 0.15. The total billed amount was usd 100000.45, but the payment went to [NAME]'s personal card [CARD]. This seems like [FLAGGED]. -- Company Confidential --"
"My email is james.hall@clientmail.com and my phone is 212-555-8844. Please use those contacts going forward. Also, the delivery was scheduled for 10/5/2024 with a fee of $5000, but it hasn’t been processed yet.","[PII ALERT] My email is [EMAIL] and my phone is [PHONE]. Please use those contacts going forward. Also, the delivery was scheduled for 2024-10-05 with a fee of USD 5000 but it hasn’t been processed yet. -- Company Confidential --"
"I filed an appeal last week but haven’t received a response. If this refund isn’t processed by 12/1/2023, I’ll escalate further. The amount disputed is $250.678 on card 9876-5432-1010-1111.","I filed an appeal last week but haven’t received a response. If this [FLAGGED] isn’t processed by 2023-12-01, I’ll escalate further. The amount disputed is usd 250.68 on card [CARD]. -- company confidential --"
The quarterly report shows 3000000 units sold at 5%. That seems incorrect given our capacity. Can you check if the figure was rounded properly? I also noticed extra spacing in the summary fields.,The quarterly report shows 3000000 units sold at 0.05. That seems incorrect given our capacity. Can you check if the figure was rounded properly? I also noticed extra spacing in the summary fields. -- Company Confidential --
"CAN U PLS CONFIRM WHETHER THE PAYMENT OF $789.987 WAS RECEIVED??? The system lists the transaction date as 9/9/2023 and applied a 15% surcharge. If this isn’t fixed ASAP, we’ll face penalties.","Can you please confirm whether the payment of usd 789.99 was received? The system lists the transaction date as 2023-09-09 and applied a 0.15 surcharge. If this isn’t fixed as soon as possible, we’ll face penalties. -- Company Confidential --"
The delivery team left the package at 90 West Avenue instead of my actual office. The charge of $2500 on my card 1234-2222-3333-4444 needs to be reversed. Please also call me back at 415-555-7777.,The delivery team left the package at [ADDRESS] instead of my actual office. The charge of usd 2500 on my card [CARD] needs to be reversed. Please also call me back at [PHONE]. Company Confidential --
"My SSN 311-44-8822 was printed on the wrong form, and the payment of $10000 wasn’t processed correctly. The date listed was 1/1/2025, which I don’t think matches the transaction records. Please update these details immediately.","My SSN [SSN] was printed on the wrong form, and the payment of USD 10000 wasn't processed correctly. The date listed was 2025-01-01, which i don't think matches the transaction records. Please update these details immediately. -- company confidential --"
"Refund me for the duplicate charge of $45.678 shown on the 6/30/2024 statement. The system still shows my old phone number, 646-555-9876, and sent the receipt to emily.taylor@company.org.","[PII ALERT] [FLAGGED] me for the duplicate charge of usd 45.68 shown on the 2024-06-30 statement. The system still shows my old phone number, [PHONE], and sent the receipt to [EMAIL]. -- Company Confidential --"
"The compliance issue flagged last quarter still hasn’t been resolved. It was tied to invoice #224 for $5500, applied at 20%. The payment was processed on 8/1/2023.","The compliance issue flagged last quarter still hasn't been resolved. It was tied to invoice #224 for USD 5500, applied at 0.20. The payment was processed on 2023-08-01. -- Company Confidential --"
CAN U PLS CONFIRM IF MY SALARY OF $4321.876 WAS CREDITED ON 2/10/2025??? The HR system shows the wrong SSN 212-55-9912 on the slip.,Can you please confirm if my salary of usd 4321.88 was credited on 2025-02-10? The hr system shows the wrong SSN [ssn] on the slip. -- company confidential --
The order history lists a purchase of 15000 units at $10.9999. This seems unrealistic. The system also recorded the ETA as 7/7/2024.,The order history lists a purchase of 15000 units at usd 11. This seems unrealistic. The system also recorded the estimated time of arrival as 2024-07-07. -- company confidential --
"Fraudulent charges appeared again on my account statement from 12/5/2023. The amounts listed are $3000.555 and $450, both billed to card 9999-1111-2222-3333. This must be investigated immediately.","Fraudulent charges appeared again on my account statement from 2023-12-05. The amounts listed are usd 3000.56 and usd 450, both billed to card [CARD]. This must be investigated immediately. [flagged] -- company confidential --"
"Here’s my updated contact information: maria.lopez@auditmail.com and 212-555-8841. Also, please correct the bill that lists $22000.789 dated 9/1/2024. That charge doesn’t look valid.","[PII ALERT] Here’s my updated contact information: [EMAIL] and [PHONE]. Also, please correct the bill that lists usd 22000.79 dated 2024-09-01. That charge doesn’t look valid. -- Company Confidential --"
pls update my record immediately. The delivery dated 5/5/2023 was charged at 15 percent of $2000.444. The payment went to Amanda Clark’s card 1234-9999-1111-5555.,Please update my record immediately. The delivery dated 2023-05-05 was charged at 0.15 of usd 2000.44. The payment went to [NAME]'s card [CARD]. -- company confidential --
"The SLA breach penalty listed on the report is 25%, and the date shows 4/15/2024. The fine amount of $100000.999 needs to be corrected, and my SSN 123-45-6789 should not be visible.","The sla breach penalty listed on the report is 0.25, and the date shows 2024-04-15. The fine amount of usd 100001.00 needs to be corrected, and my ssn [SSN] should not be visible. -- Company Confidential --"
"My card 3333-4444-5555-6666 was charged $1200 on 1/12/2025. The record still shows my old phone, 646-555-2201, and the system emailed the receipt to anthony.rogers@company.org. Can you fix this ASAP?","[PII ALERT] My card [CARD] was charged usd 1200.00 on 2025-01-12. The record still shows my old phone, [PHONE], and the system emailed the receipt to [EMAIL]. Can you fix this as soon as possible? -- Company Confidential --"
